,Unnamed: 0,images,gt,preds,predicted_class
0,0,Outliers_images/Giotto_Kiss_Judas_1305.jpg,1305,"USER:  
When was this painting made?
ASSISTANT: The painting was made in the 15th century.",1400
1,1,Outliers_images/Pontormo_entombment_1928.jpg,1528,"USER:  
When was this painting made?
ASSISTANT: The painting was made in the 15th century.",1400
2,2,Outliers_images/Campin_Merode_1428.jpg,1428,"USER:  
When was this painting made?
ASSISTANT: The painting was made in the 15th century.",1400
3,3,Outliers_images/Velazques_meninas_1656.jpg,1656,"USER:  
When was this painting made?
ASSISTANT: The painting was made in the 17th century.",1600
4,4,Outliers_images/Gainsborough_Blue_boy_1770.jpg,1770,"USER:  
When was this painting made?
ASSISTANT: The painting was made in the 18th century.",1600
5,5,Outliers_images/Goya_Saturn_1819.jpg,1819,"USER:  
When was this painting made?
ASSISTANT: The exact date of the painting is not provided, but it is described as a ""very old painting."" This suggests that the painting was created during a time when artistic styles and techniques were different from modern art. The age of the painting could be inferred from the fact that it is described as ""very old"" and ""old,"" which implies that it has been preserved for a significant amount of time.",1420
6,6,Outliers_images/David_Marat_1793.jpg,1793,"USER:  
When was this painting made?
ASSISTANT: The painting was made in the 18th century.",1600
7,7,Outliers_images/Daumier_Wagon_1862.jpg,1854,"USER:  
When was this painting made?
ASSISTANT: The painting was made in the 19th century.",1800
8,8,Outliers_images/Mucha_Gismonda_1894.jpg,1894,"USER:  
When was this painting made?
ASSISTANT: The painting was made in the 19th century.",1800
9,9,Outliers_images/Picasso_Avignon_1907.jpg,1907,"USER:  
When was this painting made?
ASSISTANT: The painting was made in 1954.",1950
10,10,Outliers_images/Picasso_Guernica_1937.jpg,1937,"USER:  
When was this painting made?
ASSISTANT: The painting was made in 1930.",1930
11,11,Outliers_images/Duchamp_glass_1923.jpg,1915,"USER:  
When was this painting made?
ASSISTANT: The painting was made in 1930.",1930
12,12,Outliers_images/Gris_guitar_1913.jpg,1913,"USER:  
When was this painting made?
ASSISTANT: The painting was made in 1957.",1960
13,13,Outliers_images/Metzinger_Tea_1911.jpg,1911,"USER:  
When was this painting made?
ASSISTANT: The painting was made in the 1920s.",1920
14,14,Outliers_images/Picasso_chair_1912.jpg,1912,"USER:  
When was this painting made?
ASSISTANT: The painting was made in 1914.",1920
15,15,Outliers_images/Dali_Memory_1931.jpg,1931,"USER:  
When was this painting made?
ASSISTANT: The painting was made in 1938.",1940
16,16,Outliers_images/Matisse_red_1911.jpg,1911,"USER:  
When was this painting made?
ASSISTANT: The painting was made in the 1930s.",1930
17,17,Outliers_images/Derain_Collioure_1905.jpg,1905,"USER:  
When was this painting made?
ASSISTANT: The painting was made in the 19th century.",1800
18,18,Outliers_images/VanDongen_Woman_1906.jpg,1906,"USER:  
When was this painting made?
ASSISTANT: The painting was made in the 19th century.",1800
