,images,gt,preds
0,Outliers_images/Giotto_Kiss_Judas_1305.jpg,1305,"USER:  
When was this painting made?
ASSISTANT: The painting was made in the 15th century."
1,Outliers_images/Pontormo_entombment_1928.jpg,1528,"USER:  
When was this painting made?
ASSISTANT: The painting was made in the 15th century."
2,Outliers_images/Campin_Merode_1428.jpg,1428,"USER:  
When was this painting made?
ASSISTANT: The painting was made in the 15th century."
3,Outliers_images/Velazques_meninas_1656.jpg,1656,"USER:  
When was this painting made?
ASSISTANT: The painting was made in the 17th century."
4,Outliers_images/Gainsborough_Blue_boy_1770.jpg,1770,"USER:  
When was this painting made?
ASSISTANT: The painting was made in the 18th century."
5,Outliers_images/Goya_Saturn_1819.jpg,1819,"USER:  
When was this painting made?
ASSISTANT: The exact date of the painting is not provided, but it is described as a ""very old painting."" This suggests that the painting was created during a time when artistic styles and techniques were different from modern art. The age of the painting could be inferred from the fact that it is described as ""very old"" and ""old,"" which implies that it has been preserved for a significant amount of time."
6,Outliers_images/David_Marat_1793.jpg,1793,"USER:  
When was this painting made?
ASSISTANT: The painting was made in the 18th century."
7,Outliers_images/Daumier_Wagon_1862.jpg,1854,"USER:  
When was this painting made?
ASSISTANT: The painting was made in the 19th century."
8,Outliers_images/Mucha_Gismonda_1894.jpg,1894,"USER:  
When was this painting made?
ASSISTANT: The painting was made in the 19th century."
9,Outliers_images/Picasso_Avignon_1907.jpg,1907,"USER:  
When was this painting made?
ASSISTANT: The painting was made in 1954."
10,Outliers_images/Picasso_Guernica_1937.jpg,1937,"USER:  
When was this painting made?
ASSISTANT: The painting was made in 1930."
11,Outliers_images/Duchamp_glass_1923.jpg,1915,"USER:  
When was this painting made?
ASSISTANT: The painting was made in 1930."
12,Outliers_images/Gris_guitar_1913.jpg,1913,"USER:  
When was this painting made?
ASSISTANT: The painting was made in 1957."
13,Outliers_images/Metzinger_Tea_1911.jpg,1911,"USER:  
When was this painting made?
ASSISTANT: The painting was made in the 1920s."
14,Outliers_images/Picasso_chair_1912.jpg,1912,"USER:  
When was this painting made?
ASSISTANT: The painting was made in 1914."
15,Outliers_images/Dali_Memory_1931.jpg,1931,"USER:  
When was this painting made?
ASSISTANT: The painting was made in 1938."
16,Outliers_images/Matisse_red_1911.jpg,1911,"USER:  
When was this painting made?
ASSISTANT: The painting was made in the 1930s."
17,Outliers_images/Derain_Collioure_1905.jpg,1905,"USER:  
When was this painting made?
ASSISTANT: The painting was made in the 19th century."
18,Outliers_images/VanDongen_Woman_1906.jpg,1906,"USER:  
When was this painting made?
ASSISTANT: The painting was made in the 19th century."
19,Outliers_images/Pollock_yellow-islands_1952.jpg,1952,"USER:  
When was this painting made?
ASSISTANT: The painting was made in 1951."
20,Outliers_images/Kline_meryon_1961.jpg,1960,"USER:  
When was this painting made?
ASSISTANT: The painting was made in 1951."
21,Outliers_images/Motherwell_elegy-to-the-spanish-republic-no-110_1971.jpg,1961,"USER:  
When was this painting made?
ASSISTANT: The painting was made in 1957."
22,Outliers_images/Krasner_Gothic_landscape_1961.jpg,1961,"USER:  
When was this painting made?
ASSISTANT: The painting was made in 1951."
23,Outliers_images/Stella_Marrakech_1964.jpg,1964,"USER:  
When was this painting made?
ASSISTANT: The painting was made in 1961."
24,Outliers_images/Rothko_No7_1963.jpg,1963,"USER:  
When was this painting made?
ASSISTANT: The painting was made in 1951."
25,Outliers_images/Noland_east-west_1963.jpg,1963,"USER:  
When was this painting made?
ASSISTANT: The painting was made in 1966."
26,Outliers_images/Malevich_black_square_1915.jpg,1915,"USER:  
When was this painting made?
ASSISTANT: The painting was made in 1958."
27,Outliers_images/Baer_stations_1967.jpg,1967,"USER:  
When was this painting made?
ASSISTANT: The painting was made in 2013."
28,Outliers_images/Hiroshige_the-plum-garden_1857.jpg,1857,"USER:  
When was this painting made?
ASSISTANT: The painting was made in the 19th century."
29,Outliers_images/Sharaku_the-actor-Otani_1794.jpg,1794,"USER:  
When was this painting made?
ASSISTANT: The painting was made in the 19th century."
30,Outliers_images/Utamaro_The-courtesan-Takao_1793.jpg,1793,"USER:  
When was this painting made?
ASSISTANT: The painting was made in the 19th century."
31,Outliers_images/Hokusai_red-fuji_1831.jpg,1831,"USER:  
When was this painting made?
ASSISTANT: The painting was made in the 19th century."
32,Outliers_images/Duchamp_fountain_1917.jpg,1917,"USER:  
When was this painting made?
ASSISTANT: The painting was made in 1917."
33,Outliers_images/Johns_Flag_1955.jpg,1955,"USER:  
When was this painting made?
ASSISTANT: The painting was made in 1976."
