,Unnamed: 0,images,gt,preds,predicted_class
0,0,Impressionism/john-singer-sargent_at-torre-galli-ladies-in-a-garden-1910.jpg,1910,"USER:  
When was this painting made?
ASSISTANT: The painting was made in the 19th century.",1800
1,1,Impressionism/lovis-corinth_the-sea-near-la-spezia-1914.jpg,1914,"USER:  
When was this painting made?
ASSISTANT: The painting was made in 1984.",2000
2,2,Impressionism/john-singer-sargent_in-the-tyrol-1904.jpg,1904,"USER:  
When was this painting made?
ASSISTANT: The painting was made in 1987.",2000
3,3,Impressionism/john-singer-sargent_camping-at-lake-o-hara-1916.jpg,1916,"USER:  
When was this painting made?
ASSISTANT: The painting was made in the 19th century.",1800
4,4,Impressionism/asgrimur-jonsson_thj-rs-river-mt-hekla-in-the-evening-sun-1918.jpg,1918,"USER:  
When was this painting made?
ASSISTANT: The painting was made in the 19th century.",1800
5,5,Impressionism/egon-schiele_view-into-the-apartment-of-leopold-and-marie-czihaczek-1907.jpg,1907,"USER:  
When was this painting made?
ASSISTANT: The painting was made in the 19th century.",1800
6,6,Impressionism/nutzi-acontz_horseshoeing-1948.jpg,1948,"USER:  
When was this painting made?
ASSISTANT: The painting was made in the 19th century.",1800
7,7,Impressionism/konstantin-korovin_roses-1917.jpg,1917,"USER:  
When was this painting made?
ASSISTANT: The painting was made in the 19th century.",1800
8,8,Impressionism/joaquin-sorolla_my-family-1901.jpg,1901,"USER:  
When was this painting made?
ASSISTANT: The painting was made in the 19th century.",1800
9,9,Impressionism/joaquin-sorolla_puente-de-real-1908.jpg,1908,"USER:  
When was this painting made?
ASSISTANT: The painting was made in the 19th century.",1800
10,10,Impressionism/jean-alexandru-steriadi_portul-roscoff-1928.jpg,1928,"USER:  
When was this painting made?
ASSISTANT: The painting was made in the 19th century.",1800
11,11,Impressionism/mario-zanini_lerici-1950.jpg,1950,"USER:  
When was this painting made?
ASSISTANT: The painting was made in the 19th century.",1800
12,12,Impressionism/santiago-rusinol_terraced-garden-in-mallorca-1911.jpg,1911,"USER:  
When was this painting made?
ASSISTANT: The painting was made in the 19th century.",1800
13,13,Impressionism/claude-monet_houses-of-parliament-fog-effect-1901.jpg,1901,"USER:  
When was this painting made?
ASSISTANT: The painting was made in 1904.",1900
14,14,Impressionism/samuel-mutzner_pod-la-vene-ia-1929.jpg,1929,"USER:  
When was this painting made?
ASSISTANT: The painting was made in the 19th century.",1800
15,15,Impressionism/claude-monet_palazzo-dario-1908.jpg,1908,"USER:  
When was this painting made?
ASSISTANT: The painting was made in the 19th century.",1800
16,16,Impressionism/lovis-corinth_the-walchensee-mountains-wreathed-in-cloud-1925.jpg,1925,"USER:  
When was this painting made?
ASSISTANT: The painting was made in the 19th century.",1800
17,17,Impressionism/konstantin-korovin_roses-and-fruit-1917.jpg,1917,"USER:  
When was this painting made?
ASSISTANT: The painting was made in the 19th century.",1800
18,18,Impressionism/joaquin-sorolla_peppers-1903.jpg,1903,"USER:  
When was this painting made?
ASSISTANT: The painting was made in the 19th century.",1800
19,19,Impressionism/t.-c.-steele_the-poplars-1914.jpg,1914,"USER:  
When was this painting made?
ASSISTANT: The painting was made in the 19th century.",1800
20,20,Impressionism/claude-monet_path-under-the-rose-trellises-giverny-1922-1.jpg,1922,"USER:  
When was this painting made?
ASSISTANT: The painting was made in the 1960s.",1900
21,21,Impressionism/raoul-dufy_view-of-paris-from-monmartre-1902.jpg,1902,"USER:  
When was this painting made?
ASSISTANT: The painting was made in the 19th century.",1800
22,22,Impressionism/pierre-auguste-renoir_seated-couple-1912.jpg,1912,"USER:  
When was this painting made?
ASSISTANT: The painting was made in the 19th century.",1800
23,23,Impressionism/joaquin-sorolla_the-cemetery-at-sierra-nevada-granada-1910.jpg,1910,"USER:  
When was this painting made?
ASSISTANT: The painting was made in the 19th century.",1800
24,24,Impressionism/claude-monet_weeping-willow-and-water-lily-pond-2-1919.jpg,1919,"USER:  
When was this painting made?
ASSISTANT: The painting was made in the 19th century.",1800
25,25,Impressionism/frederic-remington_against-the-sunset-1906.jpg,1906,"USER:  
When was this painting made?
ASSISTANT: The painting was made in the 19th century.",1800
26,26,Impressionism/claude-monet_water-lilies-and-agapanthus-1917.jpg,1917,"USER:  
When was this painting made?
ASSISTANT: The painting was made in 1913.",1900
27,27,Impressionism/valentin-serov_portrait-of-sergei-diaghilev-1904.jpg,1904,"USER:  
When was this painting made?
ASSISTANT: The painting was made in the early 20th century.",1900
28,28,Impressionism/konstantin-korovin_still-life-with-portrait-of-pertseva-1916.jpg,1916,"USER:  
When was this painting made?
ASSISTANT: The painting was made in the 19th century.",1800
29,29,Impressionism/zinaida-serebriakova_winter-wheat-1910.jpg,1910,"USER:  
When was this painting made?
ASSISTANT: The painting was made in the 19th century.",1800
30,30,Impressionism/ilya-mashkov_zages-and-a-statue-of-lenin-1927.jpg,1927,"USER:  
When was this painting made?
ASSISTANT: The painting was made in the 19th century.",1800
31,31,Impressionism/andre-dunoyer-de-segonzac_the-farm-on-the-estate-1923.jpg,1923,"USER:  
When was this painting made?
ASSISTANT: The painting was made in 1913.",1900
32,32,Impressionism/pierre-auguste-renoir_young-woman-with-a-rose-in-her-hat-1913.jpg,1913,"USER:  
When was this painting made?
ASSISTANT: The painting was made in the 19th century.",1800
33,33,Impressionism/augustus-john_mas-de-galeron-1950.jpg,1950,"USER:  
When was this painting made?
ASSISTANT: The painting was made in the 19th century.",1800
34,34,Impressionism/claude-monet_water-lilies-1917-4.jpg,1917,"USER:  
When was this painting made?
ASSISTANT: The painting was made in the late 19th century.",1900
35,35,Impressionism/lucia-demetriade-balacescu_mangalia-veche-1945.jpg,1945,"USER:  
When was this painting made?
ASSISTANT: The painting was made in the 19th century.",1800
36,36,Impressionism/joaquin-sorolla_elenita-at-the-beach-asturias-1903.jpg,1903,"USER:  
When was this painting made?
ASSISTANT: The painting was made in the 19th century.",1800
37,37,Impressionism/auguste-rodin_walking-man-1900.jpg,1900,"USER:  
When was this painting made?
ASSISTANT: The painting was made in 1964.",1900
38,38,Impressionism/istvan-nagy_sz-kely-room-1919.jpg,1919,"USER:  
When was this painting made?
ASSISTANT: The painting was made in the 19th century.",1800
39,39,Impressionism/mary-cassatt_woman-sewing-1914.jpg,1914,"USER:  
When was this painting made?
ASSISTANT: The painting was made in 1918.",1900
40,40,Impressionism/claude-monet_water-lilies-1919-3.jpg,1919,"USER:  
When was this painting made?
ASSISTANT: The painting was made in 1917.",1900
41,41,Impressionism/valentin-serov_portrait-of-a-princess-olga-orlova-1911.jpg,1911,"USER:  
When was this painting made?
ASSISTANT: The painting was made in the 19th century.",1800
42,42,Impressionism/henri-matisse_the-pot-saint-michel-in-paris-1900.jpg,1900,"USER:  
When was this painting made?
ASSISTANT: The painting was made in 1918.",1900
43,43,Impressionism/william-james-glackens_breezy-day-tugboats-new-york-harbor-1910.jpg,1910,"USER:  
When was this painting made?
ASSISTANT: The painting was made in the 19th century.",1800
