,Unnamed: 0,images,gt,preds,predicted_class
0,0,Aalto1.jpg,1915,"USER:  
When was this painting made?
ASSISTANT: The painting was made in 1914.",1900
1,1,Aalto2.jpg,1917,"USER:  
When was this painting made?
ASSISTANT: The painting was made in 1918.",1900
2,2,Aertsen1.jpg,1569,"USER:  
When was this painting made?
ASSISTANT: The painting was made in the 16th century.",1500
3,3,Aertsen2.jpg,1575,"USER:  
When was this painting made?
ASSISTANT: The painting was made in the 16th century.",1500
4,4,Aertsen3.jpg,1553,"USER:  
When was this painting made?
ASSISTANT: The painting was made in the 16th century.",1500
5,5,Aivazovsky 2.jpg,1850,"USER:  
When was this painting made?
ASSISTANT: The painting was made in the 19th century.",1800
6,6,Aivazovsky1.jpg,1881,"USER:  
When was this painting made?
ASSISTANT: The painting was made in the 19th century.",1800
7,7,Albani1.jpg,1607,"USER:  
When was this painting made?
ASSISTANT: The painting was made in the 19th century.",1800
8,8,Alcazar1.jpg,1784,"USER:  
When was this painting made?
ASSISTANT: The painting was made in the 18th century.",1600
9,9,Alcazar2.jpg,1786,"USER:  
When was this painting made?
ASSISTANT: The painting was made in the 18th century.",1600
10,10,Alcazar3.jpg,1786,"USER:  
When was this painting made?
ASSISTANT: The painting was made in the 18th century.",1600
11,11,Allori1.jpg,1593,"USER:  
When was this painting made?
ASSISTANT: The painting was made in the 18th century.",1600
12,12,Altdorfer 1.jpg,1520,"USER:  
When was this painting made?
ASSISTANT: The painting was made in the 16th century.",1500
13,13,Altdorfer1.jpg,1516,"USER:  
When was this painting made?
ASSISTANT: The painting was made in the 19th century.",1800
14,14,AmanJean1.jpg,1923,"USER:  
When was this painting made?
ASSISTANT: The painting was made in the 19th century.",1800
15,15,Amigoni1.jpg,1742,"USER:  
When was this painting made?
ASSISTANT: The painting was made in the 17th century.",1600
16,16,Arcimboldo1.jpg,1563,"USER:  
When was this painting made?
ASSISTANT: The painting was made in 1518.",1700
17,17,Arcimboldo2.jpg,1590,"USER:  
When was this painting made?
ASSISTANT: The painting was made in the 16th century.",1500
18,18,Arcimboldo3.jpg,1590,"USER:  
When was this painting made?
ASSISTANT: The painting was made in the 16th century.",1500
19,19,Arellano1.jpg,1671,"USER:  
When was this painting made?
ASSISTANT: The painting was made in 1787.",1800
20,20,Arentsz1.jpg,-----,"USER:  
When was this painting made?
ASSISTANT: The painting was made in the 17th century.",1600
21,21,Asselijn1.jpg,1652,"USER:  
When was this painting made?
ASSISTANT: The painting was made in the 18th century.",1600
22,22,Avercamp1.jpg,1615,"USER:  
When was this painting made?
ASSISTANT: The painting was made in the 18th century.",1600
23,23,Avercamp2.jpg,1620,"USER:  
When was this painting made?
ASSISTANT: The painting was made in the 18th century.",1600
24,24,Backer1.jpg,1590,"USER:  
When was this painting made?
ASSISTANT: The painting was made in the 16th century.",1500
25,25,Baglione1.jpg,1602,"USER:  
When was this painting made?
ASSISTANT: The painting was made in the 18th century.",1600
26,26,Barocci1.jpg,1579,"USER:  
When was this painting made?
ASSISTANT: The painting was made in the 17th century.",1600
27,27,Barry1.jpg,1772,"USER:  
When was this painting made?
ASSISTANT: The painting was made in the 18th century.",1600
28,28,Bartolommeo1.jpg,1507,"USER:  
When was this painting made?
ASSISTANT: The painting was made in the 15th century.",1400
29,29,Bartolommeo2.jpg,1516,"USER:  
When was this painting made?
ASSISTANT: The painting was made in the 18th century.",1600
30,30,Bartolommeo3.jpg,1509,"USER:  
When was this painting made?
ASSISTANT: The painting was made in the 16th century.",1500
31,31,Battista1.jpg,1575,"USER:  
When was this painting made?
ASSISTANT: The painting was made in the 16th century.",1500
32,32,Battista2.jpg,1552,"USER:  
When was this painting made?
ASSISTANT: The painting was made in the 18th century.",1600
33,33,Battista3.jpg,1550,"USER:  
When was this painting made?
ASSISTANT: The painting was made in the 16th century.",1500
34,34,Battista4.jpg,1570,"USER:  
When was this painting made?
ASSISTANT: The painting was made in the 17th century.",1600
35,35,Battista5.jpg,1560,"USER:  
When was this painting made?
ASSISTANT: The painting was made in the 17th century.",1600
36,36,Battista6.jpg,1565,"USER:  
When was this painting made?
ASSISTANT: The painting was made in the 17th century.",1600
37,37,Bazille1.jpg,1870,"USER:  
When was this painting made?
ASSISTANT: The painting was made in 1886.",1900
38,38,Bazille2.jpg,1864,"USER:  
When was this painting made?
ASSISTANT: The painting was made in the 19th century.",1800
39,39,Beck1.jpg,1651,"USER:  
When was this painting made?
ASSISTANT: The painting was made in 1881.",1900
40,40,Becker1.jpg,1907,"USER:  
When was this painting made?
ASSISTANT: The painting was made in the 19th century.",1800
41,41,Becker2.jpg,1902,"USER:  
When was this painting made?
ASSISTANT: The painting was made in 1985.",2000
42,42,Beert1.jpg,1625,"USER:  
When was this painting made?
ASSISTANT: The painting was made in the 17th century.",1600
43,43,Bellucci1.jpg,1718,"USER:  
When was this painting made?
ASSISTANT: The painting was made in the 18th century.",1600
44,44,BenjaminWest1.jpg,1777,"USER:  
When was this painting made?
ASSISTANT: The painting was made in the 18th century.",1600
45,45,BenjaminWest10.jpg,1778,"USER:  
When was this painting made?
ASSISTANT: The painting was made in the 18th century.",1600
46,46,BenjaminWest11.jpg,1788,"USER:  
When was this painting made?
ASSISTANT: The painting was made in the 18th century.",1600
