,images,gt,preds
0,Aalto1.jpg,1915,"USER:  
When was this painting made?
ASSISTANT: The painting was made in 1914."
1,Aalto2.jpg,1917,"USER:  
When was this painting made?
ASSISTANT: The painting was made in 1918."
2,Aertsen1.jpg,1569,"USER:  
When was this painting made?
ASSISTANT: The painting was made in the 16th century."
3,Aertsen2.jpg,1575,"USER:  
When was this painting made?
ASSISTANT: The painting was made in the 16th century."
4,Aertsen3.jpg,1553,"USER:  
When was this painting made?
ASSISTANT: The painting was made in the 16th century."
5,Aivazovsky 2.jpg,1850,"USER:  
When was this painting made?
ASSISTANT: The painting was made in the 19th century."
6,Aivazovsky1.jpg,1881,"USER:  
When was this painting made?
ASSISTANT: The painting was made in the 19th century."
7,Albani1.jpg,1607,"USER:  
When was this painting made?
ASSISTANT: The painting was made in the 19th century."
8,Alcazar1.jpg,1784,"USER:  
When was this painting made?
ASSISTANT: The painting was made in the 18th century."
9,Alcazar2.jpg,1786,"USER:  
When was this painting made?
ASSISTANT: The painting was made in the 18th century."
10,Alcazar3.jpg,1786,"USER:  
When was this painting made?
ASSISTANT: The painting was made in the 18th century."
11,Allori1.jpg,1593,"USER:  
When was this painting made?
ASSISTANT: The painting was made in the 18th century."
12,Altdorfer 1.jpg,1520,"USER:  
When was this painting made?
ASSISTANT: The painting was made in the 16th century."
13,Altdorfer1.jpg,1516,"USER:  
When was this painting made?
ASSISTANT: The painting was made in the 19th century."
14,AmanJean1.jpg,1923,"USER:  
When was this painting made?
ASSISTANT: The painting was made in the 19th century."
15,Amigoni1.jpg,1742,"USER:  
When was this painting made?
ASSISTANT: The painting was made in the 17th century."
16,Arcimboldo1.jpg,1563,"USER:  
When was this painting made?
ASSISTANT: The painting was made in 1518."
17,Arcimboldo2.jpg,1590,"USER:  
When was this painting made?
ASSISTANT: The painting was made in the 16th century."
18,Arcimboldo3.jpg,1590,"USER:  
When was this painting made?
ASSISTANT: The painting was made in the 16th century."
19,Arellano1.jpg,1671,"USER:  
When was this painting made?
ASSISTANT: The painting was made in 1787."
20,Arentsz1.jpg,-----,"USER:  
When was this painting made?
ASSISTANT: The painting was made in the 17th century."
21,Asselijn1.jpg,1652,"USER:  
When was this painting made?
ASSISTANT: The painting was made in the 18th century."
22,Avercamp1.jpg,1615,"USER:  
When was this painting made?
ASSISTANT: The painting was made in the 18th century."
23,Avercamp2.jpg,1620,"USER:  
When was this painting made?
ASSISTANT: The painting was made in the 18th century."
24,Backer1.jpg,1590,"USER:  
When was this painting made?
ASSISTANT: The painting was made in the 16th century."
25,Baglione1.jpg,1602,"USER:  
When was this painting made?
ASSISTANT: The painting was made in the 18th century."
26,Barocci1.jpg,1579,"USER:  
When was this painting made?
ASSISTANT: The painting was made in the 17th century."
27,Barry1.jpg,1772,"USER:  
When was this painting made?
ASSISTANT: The painting was made in the 18th century."
28,Bartolommeo1.jpg,1507,"USER:  
When was this painting made?
ASSISTANT: The painting was made in the 15th century."
29,Bartolommeo2.jpg,1516,"USER:  
When was this painting made?
ASSISTANT: The painting was made in the 18th century."
30,Bartolommeo3.jpg,1509,"USER:  
When was this painting made?
ASSISTANT: The painting was made in the 16th century."
31,Battista1.jpg,1575,"USER:  
When was this painting made?
ASSISTANT: The painting was made in the 16th century."
32,Battista2.jpg,1552,"USER:  
When was this painting made?
ASSISTANT: The painting was made in the 18th century."
33,Battista3.jpg,1550,"USER:  
When was this painting made?
ASSISTANT: The painting was made in the 16th century."
34,Battista4.jpg,1570,"USER:  
When was this painting made?
ASSISTANT: The painting was made in the 17th century."
35,Battista5.jpg,1560,"USER:  
When was this painting made?
ASSISTANT: The painting was made in the 17th century."
36,Battista6.jpg,1565,"USER:  
When was this painting made?
ASSISTANT: The painting was made in the 17th century."
37,Bazille1.jpg,1870,"USER:  
When was this painting made?
ASSISTANT: The painting was made in 1886."
38,Bazille2.jpg,1864,"USER:  
When was this painting made?
ASSISTANT: The painting was made in the 19th century."
39,Beck1.jpg,1651,"USER:  
When was this painting made?
ASSISTANT: The painting was made in 1881."
40,Becker1.jpg,1907,"USER:  
When was this painting made?
ASSISTANT: The painting was made in the 19th century."
41,Becker2.jpg,1902,"USER:  
When was this painting made?
ASSISTANT: The painting was made in 1985."
42,Beert1.jpg,1625,"USER:  
When was this painting made?
ASSISTANT: The painting was made in the 17th century."
43,Bellucci1.jpg,1718,"USER:  
When was this painting made?
ASSISTANT: The painting was made in the 18th century."
44,BenjaminWest1.jpg,1777,"USER:  
When was this painting made?
ASSISTANT: The painting was made in the 18th century."
45,BenjaminWest10.jpg,1778,"USER:  
When was this painting made?
ASSISTANT: The painting was made in the 18th century."
46,BenjaminWest11.jpg,1788,"USER:  
When was this painting made?
ASSISTANT: The painting was made in the 18th century."
47,BenjaminWest12.jpg,1795,"USER:  
When was this painting made?
ASSISTANT: The painting was made in the 18th century."
