,Unnamed: 0,images,gt,preds,predicted_class
0,0,Outliers_images/Giotto_Kiss_Judas_1305.jpg,early renaissance,<image>The art style of this painting is Baroque.<|endofchunk|><image>The art style of this painting is Pointillism.<|endofchunk|><image>The art style of this painting is 	Giotto di Bondone. The art style of this painting is Realism. The art,early renaissance
1,1,Outliers_images/Pontormo_entombment_1928.jpg,mannerism late renaissance,<image>The art style of this painting is Baroque.<|endofchunk|><image>The art style of this painting is Pointillism.<|endofchunk|><image>The art style of this painting is romeo and juliet. The art style of this painting is Impressionism. The art style,romanticism
2,2,Outliers_images/Campin_Merode_1428.jpg,northern renaissance,<image>The art style of this painting is Baroque.<|endofchunk|><image>The art style of this painting is Pointillism.<|endofchunk|><image>The art style of this painting is 	Gothic. The art style of this painting is Impressionism. The art style of,romanticism
3,3,Outliers_images/Velazques_meninas_1656.jpg,baroque,<image>The art style of this painting is Baroque.<|endofchunk|><image>The art style of this painting is Pointillism.<|endofchunk|><image>The art style of this painting is 	Baroque. The art style of this painting is Impressionism. The art style of this,baroque
4,4,Outliers_images/Gainsborough_Blue_boy_1770.jpg,rococo,<image>The art style of this painting is Baroque.<|endofchunk|><image>The art style of this painting is Pointillism.<|endofchunk|><image>The art style of this painting is 	Classical. The art style of this painting is Impressionist. The art style of this,neo classicism
5,5,Outliers_images/Goya_Saturn_1819.jpg,romanticism,<image>The art style of this painting is Baroque.<|endofchunk|><image>The art style of this painting is Pointillism.<|endofchunk|><image>The art style of this painting is ichthyological. The art style of this painting is Realism. The art style of this painting,symbolism
6,6,Outliers_images/David_Marat_1793.jpg,realism,<image>The art style of this painting is Baroque.<|endofchunk|><image>The art style of this painting is Pointillism.<|endofchunk|><image>The art style of this painting is 	Impressionism. The art style of this painting is Realism. The art style of this,impressionism
7,7,Outliers_images/Daumier_Wagon_1862.jpg,realism,<image>The art style of this painting is Baroque.<|endofchunk|><image>The art style of this painting is Pointillism.<|endofchunk|><image>The art style of this painting is 	Impressionism. The art style of this painting is Realism. The art style of this,impressionism
8,8,Outliers_images/Mucha_Gismonda_1894.jpg,art nouveau,<image>The art style of this painting is Baroque.<|endofchunk|><image>The art style of this painting is Pointillism.<|endofchunk|><image>The art style of this painting is ichthyology. The art style of this painting is Realism. The art style of this painting,expressionism
9,9,Outliers_images/Picasso_Avignon_1907.jpg,cubism,<image>The art style of this painting is Baroque.<|endofchunk|><image>The art style of this painting is Pointillism.<|endofchunk|><image>The art style of this painting is 	Surrealism. The art style of this painting is Expressionism. The art style of this,surrealism
10,10,Outliers_images/Picasso_Guernica_1937.jpg,cubism,<image>The art style of this painting is Baroque.<|endofchunk|><image>The art style of this painting is Pointillism.<|endofchunk|><image>The art style of this painting is Guernica. The art style of this painting is Impressionism,cubism
11,11,Outliers_images/Duchamp_glass_1923.jpg,cubism,<image>The art style of this painting is Baroque.<|endofchunk|><image>The art style of this painting is Pointillism.<|endofchunk|><image>The art style of this painting is ichthyology. The art style of this painting is Realism. The art style of this painting,expressionism
12,12,Outliers_images/Gris_guitar_1913.jpg,cubism,<image>The art style of this painting is Baroque.<|endofchunk|><image>The art style of this painting is Pointillism.<|endofchunk|><image>The art style of this painting is ichthyology. The art style of this painting is Expressionism. The art style of this painting,expressionism
13,13,Outliers_images/Metzinger_Tea_1911.jpg,cubism,<image>The art style of this painting is Baroque.<|endofchunk|><image>The art style of this painting is Pointillism.<|endofchunk|><image>The art style of this painting is 	Surrealism. The art style of this painting is Expressionism. The art style of this,surrealism
14,14,Outliers_images/Picasso_chair_1912.jpg,cubism,<image>The art style of this painting is Baroque.<|endofchunk|><image>The art style of this painting is Pointillism.<|endofchunk|><image>The art style of this painting is ichthyology. The art style of this painting is Expressionism. The art style of this painting,expressionism
15,15,Outliers_images/Dali_Memory_1931.jpg,expressionism,<image>The art style of this painting is Baroque.<|endofchunk|><image>The art style of this painting is Pointillism.<|endofchunk|><image>The art style of this painting is  Surrealism. The art style of this painting is Expressionism. The art style of this,surrealism
16,16,Outliers_images/Matisse_red_1911.jpg,expressionism,<image>The art style of this painting is Baroque.<|endofchunk|><image>The art style of this painting is Pointillism.<|endofchunk|><image>The art style of this painting is ichthyology. The art style of this painting is Expressionism. The art style of this painting,expressionism
17,17,Outliers_images/Derain_Collioure_1905.jpg,fauvism,<image>The art style of this painting is Baroque.<|endofchunk|><image>The art style of this painting is Pointillism.<|endofchunk|><image>The art style of this painting is ichthyology. The art style of this painting is Impressionism. The art style of this,expressionism
18,18,Outliers_images/VanDongen_Woman_1906.jpg,fauvism,<image>The art style of this painting is Baroque.<|endofchunk|><image>The art style of this painting is Pointillism.<|endofchunk|><image>The art style of this painting is 	Impressionism. The art style of this painting is Expressionism. The art style of this,impressionism
19,19,Outliers_images/Pollock_yellow-islands_1952.jpg,abstract expressionism,<image>The art style of this painting is Baroque.<|endofchunk|><image>The art style of this painting is Pointillism.<|endofchunk|><image>The art style of this painting is スマホ. The art style of this painting is Realism. The art style of this,symbolism
20,20,Outliers_images/Kline_meryon_1961.jpg,abstract expressionism,<image>The art style of this painting is Baroque.<|endofchunk|><image>The art style of this painting is Pointillism.<|endofchunk|><image>The art style of this painting is  Abstract Expressionism. The art style of this painting is Expressionism. The art style of this,abstract expressionism
21,21,Outliers_images/Motherwell_elegy-to-the-spanish-republic-no-110_1971.jpg,abstract expressionism,<image>The art style of this painting is Baroque.<|endofchunk|><image>The art style of this painting is Pointillism.<|endofchunk|><image>The art style of this painting is スマホ. The art style of this painting is Realism. The art style of this,symbolism
22,22,Outliers_images/Krasner_Gothic landscape_1961.jpg,abstract expressionism,<image>The art style of this painting is Baroque.<|endofchunk|><image>The art style of this painting is Pointillism.<|endofchunk|><image>The art style of this painting is  Abstract Expressionism. The art style of this painting is Expressionism. The art style of this,abstract expressionism
23,23,Outliers_images/Stella_Marrakech_1964.jpg,color field painting,<image>The art style of this painting is Baroque.<|endofchunk|><image>The art style of this painting is Pointillism.<|endofchunk|><image>The art style of this painting is ポイントリック. The art style of this painting is Impressionism. The art,symbolism
24,24,Outliers_images/Rothko_No7_1963.jpg,color field painting,<image>The art style of this painting is Baroque.<|endofchunk|><image>The art style of this painting is Pointillism.<|endofchunk|><image>The art style of this painting is  Abstract Expressionism. The art style of this painting is Realism. The art style of this,abstract expressionism
25,25,Outliers_images/Noland_east-west_1963.jpg,color field painting,<image>The art style of this painting is Baroque.<|endofchunk|><image>The art style of this painting is Pointillism.<|endofchunk|><image>The art style of this painting is ichthyology. The art style of this painting is Expressionism. The art style of this painting,expressionism
26,26,Outliers_images/Malevich_black_square_1915.jpg,minimalism,<image>The art style of this painting is Baroque.<|endofchunk|><image>The art style of this painting is Pointillism.<|endofchunk|><image>The art style of this painting is ichthyology. The art style of this painting is Expressionism. The art style of this painting,expressionism
27,27,Outliers_images/Baer_stations_1967.jpg,minimalism,<image>The art style of this painting is Baroque.<|endofchunk|><image>The art style of this painting is Pointillism.<|endofchunk|><image>The art style of this painting is 画像. The art style of this painting is Impressionism. The art style of this painting,symbolism
28,28,Outliers_images/Hiroshige_the-plum-garden_1857.jpg,ukiyo-e,<image>The art style of this painting is Baroque.<|endofchunk|><image>The art style of this painting is Pointillism.<|endofchunk|><image>The art style of this painting is 日本画. The art style of this painting is Realism. The art style of this painting is,ukiyo-e
29,29,Outliers_images/Sharaku_the-actor-Otani_1794.jpg,ukiyo-e,<image>The art style of this painting is Baroque.<|endofchunk|><image>The art style of this painting is Pointillism.<|endofchunk|><image>The art style of this painting is 武道. The art style of this painting is Realism. The art style of this painting,ukiyo-e
30,30,Outliers_images/Utamaro_The-courtesan-Takao_1793.jpg,ukiyo-e,<image>The art style of this painting is Baroque.<|endofchunk|><image>The art style of this painting is Pointillism.<|endofchunk|><image>The art style of this painting is 歌川美術. The art style of this painting is Impressionism.,ukiyo-e
31,31,Outliers_images/Hokusai_red-fuji_1831.jpg,ukiyo-e,<image>The art style of this painting is Baroque.<|endofchunk|><image>The art style of this painting is Pointillism.<|endofchunk|><image>The art style of this painting is 画像. The art style of this painting is Realism. The art style of this painting is,symbolism
32,32,Outliers_images/Duchamp_fountain_1917.jpg,pop art,<image>The art style of this painting is Baroque.<|endofchunk|><image>The art style of this painting is Pointillism.<|endofchunk|><image>The art style of this painting is urn. The art style of this painting is Impressionism. The art style of this painting is,symbolism
33,33,Outliers_images/Johns_Flag_1955.jpg,pop art,<image>The art style of this painting is Baroque.<|endofchunk|><image>The art style of this painting is Pointillism.<|endofchunk|><image>The art style of this painting is  American Flag. The art style of this painting is Impressionist. The art style of this,symbolism
34,34,Influential_artworks/Early_Renaissance/FilippoLippi_MadonnaandChild_1455.jpg,early renaissance,<image>The art style of this painting is Baroque.<|endofchunk|><image>The art style of this painting is Pointillism.<|endofchunk|><image>The art style of this painting is 	Raphael. The art style of this painting is Realism. The art style of this,early renaissance
