,Unnamed: 0,images,gt,preds,predicted_class
0,0,Impressionism/john-singer-sargent_at-torre-galli-ladies-in-a-garden-1910.jpg,1910,<image>This painting was made in 1907.<|endofchunk|><image>This painting was made in 1793.<|endofchunk|><image>This painting was made in rome in 1877. This painting was made in 1877. This painting was made in 1877,1870
1,1,Impressionism/lovis-corinth_the-sea-near-la-spezia-1914.jpg,1914,<image>This painting was made in 1907.<|endofchunk|><image>This painting was made in 1793.<|endofchunk|><image>This painting was made in  1908. This painting was made in  1908. This painting was made in ,1900
2,2,Impressionism/john-singer-sargent_in-the-tyrol-1904.jpg,1904,"<image>This painting was made in 1907.<|endofchunk|><image>This painting was made in 1793.<|endofchunk|><image>This painting was made in ʻs-Hertogenbosch, Netherlands. This painting was made in ʻ",1550
3,3,Impressionism/john-singer-sargent_camping-at-lake-o-hara-1916.jpg,1916,<image>This painting was made in 1907.<|endofchunk|><image>This painting was made in 1793.<|endofchunk|><image>This painting was made in  1907. This painting was made in 1907. This painting was made in 1907.<|endofchunk|>,1900
4,4,Impressionism/asgrimur-jonsson_thj-rs-river-mt-hekla-in-the-evening-sun-1918.jpg,1918,<image>This painting was made in 1907.<|endofchunk|><image>This painting was made in 1793.<|endofchunk|><image>This painting was made in rome in 1877. This painting was made in 1877. This painting was made in 1877,1870
5,5,Impressionism/egon-schiele_view-into-the-apartment-of-leopold-and-marie-czihaczek-1907.jpg,1907,<image>This painting was made in 1907.<|endofchunk|><image>This painting was made in 1793.<|endofchunk|><image>This painting was made in rome in 1900. This painting was made in rome in 1900. This painting was made in ,1900
6,6,Impressionism/nutzi-acontz_horseshoeing-1948.jpg,1948,<image>This painting was made in 1907.<|endofchunk|><image>This painting was made in 1793.<|endofchunk|><image>This painting was made in Ștefan cel Mare. This painting was made in 1878. This painting was made,1550
7,7,Impressionism/konstantin-korovin_roses-1917.jpg,1917,<image>This painting was made in 1907.<|endofchunk|><image>This painting was made in 1793.<|endofchunk|><image>This painting was made in rome in 1875. This painting was made in 1875. This painting was made in 1875,1870
8,8,Impressionism/joaquin-sorolla_my-family-1901.jpg,1901,<image>This painting was made in 1907.<|endofchunk|><image>This painting was made in 1793.<|endofchunk|><image>This painting was made in 	1907. This painting was made in 1907. This painting was made in 1907.<|endofchunk|>,1900
9,9,Impressionism/joaquin-sorolla_puente-de-real-1908.jpg,1908,<image>This painting was made in 1907.<|endofchunk|><image>This painting was made in 1793.<|endofchunk|><image>This painting was made in rome in 1878. This painting was made in 1878. This painting was made in 1878,1870
10,10,Impressionism/jean-alexandru-steriadi_portul-roscoff-1928.jpg,1928,<image>This painting was made in 1907.<|endofchunk|><image>This painting was made in 1793.<|endofchunk|><image>This painting was made in ireland in 1878. This painting was made in ireland in 1878. This painting,1870
11,11,Impressionism/mario-zanini_lerici-1950.jpg,1950,<image>This painting was made in 1907.<|endofchunk|><image>This painting was made in 1793.<|endofchunk|><image>This painting was made in rome in the early 20th century. This painting was made in the early 20th century.<|endofchunk|>,1900
12,12,Impressionism/santiago-rusinol_terraced-garden-in-mallorca-1911.jpg,1911,<image>This painting was made in 1907.<|endofchunk|><image>This painting was made in 1793.<|endofchunk|><image>This painting was made in rome in the 1920s. This painting was made in the 1920s. This painting was made in,1920
13,13,Impressionism/claude-monet_houses-of-parliament-fog-effect-1901.jpg,1901,<image>This painting was made in 1907.<|endofchunk|><image>This painting was made in 1793.<|endofchunk|><image>This painting was made in rome in 1872. This painting was made in rome in 1872. This painting was made,1870
14,14,Impressionism/samuel-mutzner_pod-la-vene-ia-1929.jpg,1929,<image>This painting was made in 1907.<|endofchunk|><image>This painting was made in 1793.<|endofchunk|><image>This painting was made in rome in 1878. This painting was made in 1878. This painting was made in 1878,1870
15,15,Impressionism/claude-monet_palazzo-dario-1908.jpg,1908,<image>This painting was made in 1907.<|endofchunk|><image>This painting was made in 1793.<|endofchunk|><image>This painting was made in rome in 1875. This painting was made in 1875. This painting was made in 1875,1870
16,16,Impressionism/lovis-corinth_the-walchensee-mountains-wreathed-in-cloud-1925.jpg,1925,<image>This painting was made in 1907.<|endofchunk|><image>This painting was made in 1793.<|endofchunk|><image>This painting was made in ernest rosenthal in 1912. This painting was made in 1912. This painting was made in,1910
17,17,Impressionism/konstantin-korovin_roses-and-fruit-1917.jpg,1917,<image>This painting was made in 1907.<|endofchunk|><image>This painting was made in 1793.<|endofchunk|><image>This painting was made in rome in 1877. This painting was made in 1877. This painting was made in 1877,1870
18,18,Impressionism/joaquin-sorolla_peppers-1903.jpg,1903,<image>This painting was made in 1907.<|endofchunk|><image>This painting was made in 1793.<|endofchunk|><image>This painting was made in 	1907.This painting was made in 1907.This painting was made in 1907.This painting,1900
