,images,gt,preds
0,Outliers_images/Giotto_Kiss_Judas_1305.jpg,giotto,"USER:  
Who is the author of this painting?
ASSISTANT: Michelangelo"
1,Outliers_images/Pontormo_entombment_1928.jpg,jacopo pontormo,"USER:  
Who is the author of this painting?
ASSISTANT: Michelangelo"
2,Outliers_images/Campin_Merode_1428.jpg,robert campin and workshop,"USER:  
Who is the author of this painting?
ASSISTANT: Unknown"
3,Outliers_images/Velazques_meninas_1656.jpg,diego velazquez,"USER:  
Who is the author of this painting?
ASSISTANT: Rembrandt"
4,Outliers_images/Gainsborough_Blue_boy_1770.jpg,thomas gainsborough,"USER:  
Who is the author of this painting?
ASSISTANT: Unknown"
5,Outliers_images/Goya_Saturn_1819.jpg,francisco goya,"USER:  
Who is the author of this painting?
ASSISTANT: Francisco Goya"
6,Outliers_images/David_Marat_1793.jpg,jacques-louis david,"USER:  
Who is the author of this painting?
ASSISTANT: Jacques-Louis David"
7,Outliers_images/Daumier_Wagon_1862.jpg,honoré daumier,"USER:  
Who is the author of this painting?
ASSISTANT: Vincent Van Gogh"
8,Outliers_images/Mucha_Gismonda_1894.jpg,alfons mucha,"USER:  
Who is the author of this painting?
ASSISTANT: Unknown"
9,Outliers_images/Picasso_Avignon_1907.jpg,pablo picasso,"USER:  
Who is the author of this painting?
ASSISTANT: Pablo Picasso"
10,Outliers_images/Picasso_Guernica_1937.jpg,pablo picasso,"USER:  
Who is the author of this painting?
ASSISTANT: Pablo Picasso"
11,Outliers_images/Duchamp_glass_1923.jpg,marcel duchamp,"USER:  
Who is the author of this painting?
ASSISTANT: Pablo Picasso"
12,Outliers_images/Gris_guitar_1913.jpg,juan gris,"USER:  
Who is the author of this painting?
ASSISTANT: Jackson Pollock"
13,Outliers_images/Metzinger_Tea_1911.jpg,jean metzinger,"USER:  
Who is the author of this painting?
ASSISTANT: Pablo Picasso"
14,Outliers_images/Picasso_chair_1912.jpg,pablo picasso,"USER:  
Who is the author of this painting?
ASSISTANT: Pablo Picasso"
15,Outliers_images/Dali_Memory_1931.jpg,salvador dali,"USER:  
Who is the author of this painting?
ASSISTANT: Salvador Dali"
